RPI @ Conference,Team,Record,RPI,SOS,Conference Tournament Participant,Delta RPI,Final RPI,Year,Conference
2,North Carolina,47-12,2,19,1,3,5,2017,ACC
6,Louisville,47-10,6,87,1,0,6,2017,ACC
10,Florida State,39-20,10,1,1,-2,8,2017,ACC
12,Clemson,39-19,12,14,1,3,15,2017,ACC
15,Wake Forest,39-18,15,37,1,-5,10,2017,ACC
16,Virginia,42-14,16,73,1,1,17,2017,ACC
30,NC State,34-23,30,22,1,-3,27,2017,ACC
41,Miami,30-27,41,9,1,2,43,2017,ACC
74,Georgia Tech,27-28,74,26,1,1,75,2017,ACC
84,Boston College,25-28,84,38,1,0,84,2017,ACC
90,Duke,30-28,90,45,1,1,91,2017,ACC
119,Virginia Tech,23-32,119,43,0,3,122,2017,ACC
122,Notre Dame,26-32,122,42,1,-1,121,2017,ACC
131,Pittsburgh,23-30,131,58,0,0,131,2017,ACC
3,Florida,42-16,3,7,1,-1,2,2017,SEC
4,LSU,42-17,4,10,1,-1,3,2017,SEC
9,Kentucky,39-20,9,13,1,0,9,2017,SEC
14,Arkansas,42-17,14,36,1,-2,12,2017,SEC
25,Vanderbilt,33-22-1,25,11,1,-7,18,2017,SEC
28,Mississippi State,36-24,28,20,1,-7,21,2017,SEC
32,South Carolina,35-25,32,12,1,-1,31,2017,SEC
37,Ole Miss,32-25,37,17,1,-1,36,2017,SEC
45,Auburn,35-24,45,29,1,-7,38,2017,SEC
46,Texas A&M,36-21,46,63,1,-13,33,2017,SEC
51,Missouri,36-23,51,60,1,-2,49,2017,SEC
63,Tennessee,27-25,63,25,0,-5,58,2017,SEC
88,Georgia,25-32,88,15,1,-3,85,2017,SEC
182,Alabama,19-34-1,182,40,0,-7,175,2017,SEC
26,Indiana,33-22-2,26,21,1,8,34,2017,BIG10
34,Maryland,37-21,34,77,1,10,44,2017,BIG10
35,Michigan,42-15,35,162,1,5,40,2017,BIG10
44,Nebraska,35-20-1,44,80,1,10,54,2017,BIG10
68,Minnesota,36-21,68,96,1,4,72,2017,BIG10
72,Michigan State,29-23,72,89,0,6,78,2017,BIG10
83,Iowa,36-20,83,179,1,-3,80,2017,BIG10
118,Purdue,29-27,118,142,1,5,123,2017,BIG10
133,Rutgers,19-34,133,31,0,6,139,2017,BIG10
141,Illinois,23-28,141,82,0,1,142,2017,BIG10
148,Ohio State,22-34,148,34,0,6,154,2017,BIG10
176,Northwestern,27-30,176,195,1,5,181,2017,BIG10
196,Penn State,18-37,196,66,0,5,201,2017,BIG10
5,Texas Tech,43-15,5,32,1,2,7,2017,BIG12
7,TCU,42-16,7,41,1,-3,4,2017,BIG12
18,Texas,37-22,18,6,1,2,20,2017,BIG12
19,West Virginia,34-24,19,23,1,1,20,2017,BIG12
20,Baylor,34-21,20,5,1,4,24,2017,BIG12
24,Oklahoma,34-22,24,24,1,5,29,2017,BIG12
40,Oklahoma State,30-25,40,4,1,8,48,2017,BIG12
61,Kansas,30-28,61,16,1,5,66,2017,BIG12
95,Kansas State,29-26,95,74,0,4,99,2017,BIG12
6,Florida State,43-17,6,7,1,5,11,2018,ACC
8,North Carolina,38-18,8,6,1,-3,5,2018,ACC
11,Clemson,45-14,11,56,1,2,13,2018,ACC
19,NC State,40-16,19,42,1,5,24,2018,ACC
20,Duke,40-15,20,79,1,-6,14,2018,ACC
24,Louisville,43-17,24,75,1,-3,21,2018,ACC
55,Georgia Tech,31-27,55,12,1,1,56,2018,ACC
64,Miami,28-26,64,19,1,1,65,2018,ACC
71,Wake Forest,25-32,71,2,1,0,71,2018,ACC
81,Virginia,29-25,81,54,1,2,83,2018,ACC
97,Notre Dame,24-30,97,35,1,5,102,2018,ACC
109,Pittsburgh,29-26,109,110,1,-1,108,2018,ACC
146,Virginia Tech,21-33,146,59,0,0,146,2018,ACC
167,Boston College,17-32,167,46,0,5,172,2018,ACC
1,Florida,42-17,1,1,1,2,3,2018,SEC
3,Arkansas,39-18,3,3,1,-1,2,2018,SEC
5,Ole Miss,46-15,5,31,1,-1,4,2018,SEC
9,Georgia,37-19,9,4,1,1,10,2018,SEC
14,Auburn,39-21,14,11,1,-5,9,2018,SEC
15,Texas A&M,39-20,15,15,1,2,17,2018,SEC
28,Mississippi State,31-25,28,10,1,-10,18,2018,SEC
30,Kentucky,34-22,30,25,1,1,31,2018,SEC
34,LSU,37-25,34,17,1,-5,29,2018,SEC
38,Vanderbilt,31-25,38,8,1,-6,32,2018,SEC
43,South Carolina,33-24,43,13,1,-16,27,2018,SEC
48,Missouri,34-22,48,60,1,-1,47,2018,SEC
76,Tennessee,29-27,76,33,0,-1,75,2018,SEC
82,Alabama,27-29,82,21,0,0,82,2018,SEC
13,Minnesota,40-13,13,51,1,-1,12,2018,BIG10
29,Indiana,38-17,29,81,1,5,34,2018,BIG10
31,Purdue,37-19,31,63,1,9,40,2018,BIG10
37,Ohio State,36-22,37,27,1,9,46,2018,BIG10
47,Illinois,32-20,47,45,1,3,50,2018,BIG10
58,Michigan,33-20,58,118,1,5,63,2018,BIG10
77,Iowa,29-20,77,126,1,1,78,2018,BIG10
102,Maryland,24-30,102,34,0,2,104,2018,BIG10
105,Nebraska,24-28,105,32,0,0,105,2018,BIG10
165,Rutgers,25-25,165,208,0,1,166,2018,BIG10
192,Michigan State,20-32,192,102,1,1,193,2018,BIG10
231,Northwestern,15-32,231,183,0,1,232,2018,BIG10
240,Penn State,15-34,240,139,0,0,240,2018,BIG10
